id,client_name,reason,billing,model,customization,equipment_number,problem_type,photos,treatment,status,date_completed,image_paths
17,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109881004,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:07,"[""C:\\Sistema InteGS\\static\\uploads\\109881004.jpeg""]"
18,Mika Transportes,Devolução/Estoque,Com custo,GS 410,Termo branco + imã,109880987,Placa danificada,,Placa danificada,Aprovado,17/05/2024 12:14,"[""C:\\Sistema InteGS\\static\\uploads\\109880987..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109880987.jpeg""]"
19,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883713,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:15,"[""C:\\Sistema InteGS\\static\\uploads\\109883713.jpeg""]"
20,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109882259,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:15,"[""C:\\Sistema InteGS\\static\\uploads\\109882259.jpeg""]"
21,Mika Transportes,Devolução/Estoque,Sem custo,GL33,Termo branco,60284125,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:17,"[""C:\\Sistema InteGS\\static\\uploads\\60284125.jpeg""]"
22,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883569,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:18,"[""C:\\Sistema InteGS\\static\\uploads\\109883569.jpeg""]"
23,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883131,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:19,"[""C:\\Sistema InteGS\\static\\uploads\\109883131.jpeg""]"
24,Inovate apoio logistica,Manutenção,Sem custo,GS 410,Termo branco,109812590,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 15:43,"[""C:\\Sistema InteGS\\static\\uploads\\109812590.jpeg""]"
25,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007660878,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:23,"[""C:\\Sistema InteGS\\static\\uploads\\7660878.jpeg""]"
26,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007692871,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:24,"[""C:\\Sistema InteGS\\static\\uploads\\7692871..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\7692871.jpeg""]"
27,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007693578,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:24,"[""C:\\Sistema InteGS\\static\\uploads\\7693578.jpeg""]"
28,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,109816247,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,20/05/2024 16:25,"[""C:\\Sistema InteGS\\static\\uploads\\109816247..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109816247.jpeg""]"
29,Fw transportes,Manutenção,Com custo,GS 410,Termo branco + imã,109859266,Oxidação,,Oxidação,Aprovado,21/05/2024 08:43,"[""C:\\Sistema InteGS\\static\\uploads\\109859266..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109859266.jpeg""]"
